,tweet
2,"Every time i let my mom borrow my car, something seems off with it"
4,"As a child, I thought I was edgy staying up all night. Now I pat myself on the back for being in bed by 9PM."
6,Lori Loughlin #ISeeWhatIDidThere
9,They know it's 100% bullshit. #Truth #TraitorRonJohnson
10,MWAH
11,Im@keeping clover
12,Why do you say this?
16,i wish someone would cater me the way i cater people
19,The box sets were worse with the Buu arc ranging from $70-$100 since they had 5-7 volumes each.
23,This declined quickly. #Yotes
26,Would you let me get ordained and marry you guys?
27,Waterfall
33,Looks like you have the pool all to yourself!!! Perfect.
34,That Salfino seems like a genuis.
35,No time for fake people
37,They showed him in the dugout after and it looked like one of the guys said something to him about not doing it. Tanaka has respect of his peers...you dont do that against guys like him
38,DJ LeMahieu batting is a thing of beauty.
44,LMAOOOOOOOOOOOOOOOO shawt was astounded at the results
45,M
48,I'll give you that...AM 34 was good and he said his peace w/Simmons. I wonder if he will be there long term if that media up there doesn't wear him down.
53,"The healing begins on November 3rd. Then on December 14, the electoral college will convene to certify Biden's victory. Then on January 20, 2021...EVICTION DAY FOR #TurdOrange! #Truth #BidenHarris2020 #Herstory2020"
60,Brutus!
62,haha thanks
68,"Welcome back, Clint Frazier! #NYY #HomeRun @clintfrazier"
69,"Again, I point you to the current unemployment rate for the most objective measure of how we're doing now vs when Trump assumed office."
76,"""Look at my Nimmo over here, look at him! Isn't he the greatest?"""
79,I get to write more letters
80,You think we see Rosario maybe get some burn in CF?
81,Back to back!!!!
82,Do your thing Misses ( just saying).
85,Someone pmo to rooftop locations
93,Good to see Gary hit a dinger
100,pull my fleece out when i feel the breeze out :/
103,IFB
105,IFB
106,Nimmo did something productive in CF? Hell is freeing over
107,I love this jy
109,You do realize he spoke negatively about Obama's unemployment rate when they were steadily in decline. So imagine if Obama had been at the helm when the unemployment skyrocketed to 15% and is now double what it was just a few months ago.
110,So sexy
114,I want youuuu
117,1000 bucks for each #GoodStick and I could be a millionaire by the time the #StanleyCupPlayoffs are over.
118,"38: Another free-kick for our boys! Lema to take it. 

0-0 | #NYvLDN | #NYRBII"
124,You got niggas
125,Got mine
127,loyalty and trust is rare
132,GOODDDD Morning
135,Hilarious
141,Hear hear.
142,He is so awesome to watch. Everything he does has a little flair to it and he makes the impossible look easy
143,I'm the Prince of silent farts
144,NDNDNDJDNNC
146,A lot of mfs not gone like to see you doing better than them !
148,Brodie loves trading talent for CAA thats the only way
149,JERSEY IS TO FUCKING SMALL
155,"I have always loved to support; regardless if it's monetary or through word of mouth, I will always find a way to spread the love and the craft"
160,"Ex- IC player? We would love to add you to our alumni softball email list. DM me your email, and we will be happy to add you."
161,"Rosario would have struck out 

But Gimenez will be traded for an outgoing CAA has been"
